country,full_name,club,position,matches,goals
Испания,Richard Berry,Барселона,защитник,96,20
Россия,John Simon,Краснодар,нападающий,46,13
Испания,Jill Parrish,Атлетико Мадрид,нападающий,149,15
Испания,Mrs. Vanessa Smith,Реал Мадрид,защитник,32,2
Италия,Christopher Brown,Ювентус,нападающий,106,23
Бразилия,Stacy Espinoza,Палмейрас,нападающий,111,23
Португалия,Dawn Brown,Бенфика,защитник,50,18
Англия,Erika Martin,Челси,полузащитник,1,17
Германия,Jacqueline Thompson,Боруссия Дортмунд,нападающий,78,21
Германия,Miranda Bernard,Боруссия Дортмунд,защитник,138,1
Франция,Drew Rowland,Олимпик Марсель,нападающий,64,32
Англия,Danielle French,Челси,вратарь,30,-50
Италия,Dr. Nathan Chapman,Ювентус,вратарь,40,-8
Германия,Catherine Powers,РБ Лейпциг,защитник,55,10
Франция,Sandra Hall,ПСЖ,защитник,82,5
Франция,Heather Byrd,Олимпик Марсель,нападающий,28,39
Бразилия,Sandra Snow,Сантос,защитник,119,14
Португалия,Kayla Burton,Бенфика,полузащитник,15,22
Франция,Scott Salas,Олимпик Марсель,защитник,97,16
Англия,Alicia Aguirre,Челси,нападающий,65,17
Бразилия,Kelly Evans,Фламенго,полузащитник,131,26
Испания,Anthony Weaver,Атлетико Мадрид,защитник,129,7
Бразилия,Tracy Thomas,Фламенго,полузащитник,124,20
Бразилия,James Robinson,Фламенго,полузащитник,124,23
Германия,Robert Berry,Боруссия Дортмунд,защитник,100,18
Россия,Nicholas Anderson,Зенит,нападающий,72,40
Франция,Mrs. Chelsea Higgins,Олимпик Марсель,вратарь,1,-23
Аргентина,Monica Monroe,Ривер Плейт,защитник,45,16
Германия,Jon Wolf,РБ Лейпциг,полузащитник,116,24
