country,full_name,club,position,matches,goals
Нидерланды,Joe Melendez,Аякс,нападающий,61,28
Аргентина,Don Love,Бока Хуниорс,вратарь,143,-3
Аргентина,George Bryant,Бока Хуниорс,полузащитник,143,12
Бразилия,Brianna Fitzpatrick,Сантос,защитник,120,16
Россия,Lisa Johnson,Краснодар,полузащитник,24,30
Россия,Bradley Richard,Зенит,вратарь,78,-1
Германия,Chad Mercer,РБ Лейпциг,защитник,129,17
Англия,Rebecca Ford,Ливерпуль,полузащитник,18,15
Бразилия,Daniel Hernandez,Коринтианс,полузащитник,95,13
Франция,Emily Haley,ПСЖ,нападающий,5,45
Россия,Charlene Miller,Локомотив,нападающий,124,48
Испания,Jessica Conrad DVM,Атлетико Мадрид,вратарь,17,-32
Франция,Andrew Maldonado,ПСЖ,нападающий,9,11
Аргентина,Kathleen Porter,Бока Хуниорс,вратарь,32,-32
Португалия,Nicholas Carpenter,Бенфика,защитник,20,13
Россия,Robin Newman,Спартак,защитник,141,14
Португалия,Michele Garcia,Бенфика,полузащитник,103,6
Нидерланды,Andrew Massey,ПСВ,полузащитник,143,28
Португалия,Eric Miller,Бенфика,нападающий,67,42
Испания,Jennifer Gibbs,Барселона,защитник,24,11
Франция,Garrett Newman,Лион,нападающий,34,23
Португалия,Cynthia Coleman,Спортинг,защитник,138,2
Россия,Harold Porter,Краснодар,нападающий,45,30
Италия,Dr. Brenda Pratt,Ювентус,нападающий,49,13
Англия,Nicholas Larson,Челси,вратарь,149,-3
Италия,Misty Baker,Ювентус,полузащитник,2,27
Нидерланды,Raymond Garcia,Аякс,полузащитник,18,7
Германия,Gregory Cooper,Боруссия Дортмунд,защитник,63,13
Россия,Luis Barton,Зенит,вратарь,25,-14
Испания,Alicia Zamora,Барселона,вратарь,37,-26
Франция,Carl Marshall,Олимпик Марсель,нападающий,10,33
Бразилия,Rita Williams,Коринтианс,вратарь,110,-49
Россия,Victoria Garcia,Локомотив,нападающий,126,35
Португалия,Jennifer Hudson,Порту,вратарь,66,-43
Франция,Ryan Taylor,Олимпик Марсель,нападающий,40,33
Нидерланды,Jennifer Henry,Фейеноорд,защитник,58,3
Португалия,Jonathan Beltran,Спортинг,полузащитник,106,13
Германия,Jeffery Vega,Боруссия Дортмунд,вратарь,25,-24
Бразилия,Susan Wilson,Фламенго,полузащитник,140,9
Испания,Robert Gonzales,Барселона,защитник,133,7
Германия,Brandon Romero,РБ Лейпциг,полузащитник,61,22
Нидерланды,Jose Cox,ПСВ,полузащитник,64,19
Аргентина,Brandy Garrison,Ривер Плейт,полузащитник,21,30
Португалия,Lisa Snyder,Бенфика,полузащитник,29,7
Португалия,Juan Garner,Спортинг,защитник,47,17
Англия,Kevin Robinson MD,Манчестер Юнайтед,вратарь,78,-32
Италия,Ronald Matthews,Ювентус,защитник,58,14
Португалия,Justin Olsen,Бенфика,нападающий,27,46
Германия,Todd Brewer,Боруссия Дортмунд,нападающий,55,43
Испания,Amanda Fisher,Реал Мадрид,полузащитник,56,25
Португалия,George Ramos MD,Бенфика,полузащитник,45,18
Португалия,Eric Ramirez,Порту,защитник,143,17
Бразилия,Terri Nichols,Фламенго,защитник,133,3
Франция,Thomas Rocha,Олимпик Марсель,полузащитник,104,24
Франция,Roberta Clark,Олимпик Марсель,полузащитник,15,14
Россия,Donna Knapp,ЦСКА,нападающий,61,33
Германия,Anthony Hernandez,Боруссия Дортмунд,нападающий,61,49
Нидерланды,James Thornton,ПСВ,полузащитник,29,16
Португалия,Mark Wilson,Спортинг,вратарь,81,-30
Испания,Andrew Steele,Атлетико Мадрид,полузащитник,39,7
Франция,Eric Powell,ПСЖ,вратарь,45,-25
Германия,Seth Gonzalez,Бавария,нападающий,46,19
Нидерланды,Julie Edwards,Фейеноорд,полузащитник,11,22
Нидерланды,Julia Frazier,Фейеноорд,полузащитник,99,8
Испания,Patricia Scott,Реал Мадрид,нападающий,47,17
Аргентина,Erika Williams,Бока Хуниорс,полузащитник,111,21
Россия,Richard Delgado,Зенит,защитник,15,2
Аргентина,James Brown,Бока Хуниорс,нападающий,5,10
Испания,Karen Gaines,Атлетико Мадрид,защитник,45,1
Франция,Andrew Terrell,ПСЖ,защитник,105,6
Россия,Richard Black,Зенит,защитник,15,1
Англия,Melissa Johnson,Ливерпуль,полузащитник,68,17
Португалия,Joel Perez,Спортинг,нападающий,116,18
Аргентина,William Hall,Бока Хуниорс,защитник,80,20
Бразилия,Donna Morrow,Фламенго,нападающий,48,21
Бразилия,Patrick Stein MD,Фламенго,защитник,43,2
Аргентина,Julie Valencia,Бока Хуниорс,полузащитник,8,30
Испания,Ashley Parrish,Реал Мадрид,защитник,66,1
Англия,Sheri Jones,Манчестер Юнайтед,защитник,145,19
Франция,Kelly Castillo,ПСЖ,полузащитник,4,24
Франция,Ian Graham,Олимпик Марсель,защитник,5,6
Англия,Melissa Hill,Челси,защитник,98,20
Бразилия,Christopher Lopez,Сантос,защитник,98,19
Аргентина,Stacy Young,Ривер Плейт,нападающий,35,42
Англия,Tyler Thompson,Ливерпуль,полузащитник,67,13
Бразилия,Susan Brennan,Коринтианс,вратарь,43,-37
Аргентина,Angelica Mcfarland,Бока Хуниорс,защитник,7,3
Нидерланды,Kim Lee,Аякс,нападающий,102,50
Италия,Marco Roberts,Милан,нападающий,73,17
Аргентина,Jasmin Wolfe,Ривер Плейт,вратарь,89,-4
Бразилия,Sara Combs,Сантос,защитник,59,5
Португалия,Vickie Wolfe,Спортинг,вратарь,132,-6
Аргентина,Patricia Roberts,Бока Хуниорс,нападающий,57,22
Англия,Christina Torres,Ливерпуль,нападающий,138,49
Россия,Karl Johnson,Спартак,полузащитник,68,26
Англия,Emily Thomas,Челси,вратарь,110,-16
Англия,Patricia White,Ливерпуль,вратарь,77,-46
Англия,Mr. Justin Smith MD,Челси,нападающий,112,33
Франция,Michael Becker II,Олимпик Марсель,защитник,44,17
Италия,Denise Hickman,Интер,вратарь,47,-17
Англия,Christopher Roberts,Манчестер Юнайтед,полузащитник,127,17
Испания,Sean Carroll,Барселона,защитник,33,9
Россия,Willie Brown,Спартак,полузащитник,76,27
Италия,Carol Smith,Интер,нападающий,75,28
Германия,Julie Hanson,Боруссия Дортмунд,вратарь,124,-48
Аргентина,Alexander Paul,Бока Хуниорс,защитник,13,2
Аргентина,Sherry Taylor,Ривер Плейт,нападающий,31,29
Аргентина,Tracy Hammond,Бока Хуниорс,нападающий,112,23
Испания,Mary Bell,Реал Мадрид,полузащитник,118,5
Англия,Yvette Higgins,Ливерпуль,полузащитник,5,27
Германия,Kevin Price,Боруссия Дортмунд,защитник,69,5
Италия,Glenda Brown,Милан,защитник,67,7
Италия,Brandy Gomez,Ювентус,нападающий,56,24
Германия,Christopher Lewis,РБ Лейпциг,нападающий,84,18
Нидерланды,Joshua Long,ПСВ,защитник,30,0
Португалия,Thomas Gutierrez,Порту,нападающий,31,13
Испания,Lori Cole,Атлетико Мадрид,вратарь,66,-35
Португалия,Kevin Hudson,Спортинг,полузащитник,105,12
Аргентина,Bobby Bowers,Бока Хуниорс,нападающий,83,45
Россия,Daniel Morris,Спартак,защитник,16,20
Бразилия,Henry Simmons,Палмейрас,нападающий,1,38
Германия,Robin Holden,Боруссия Дортмунд,нападающий,11,49
Россия,Valerie Bailey,Зенит,защитник,76,10
Нидерланды,Lisa Williams,Аякс,вратарь,57,0
Германия,Michael Watkins,Боруссия Дортмунд,вратарь,142,-9
Россия,Theodore Mcclure,ЦСКА,защитник,96,12
Италия,Tyler Scott,Милан,защитник,66,12
Германия,Mark Duncan,Боруссия Дортмунд,вратарь,42,-29
Франция,James Martinez,Лион,полузащитник,45,15
Аргентина,Erica Horne,Бока Хуниорс,нападающий,39,36
Германия,Jennifer Miller,РБ Лейпциг,защитник,143,9
Франция,Jason Kelly,Олимпик Марсель,полузащитник,145,16
Нидерланды,Stephanie Mcgrath,ПСВ,защитник,136,4
Нидерланды,Chad Wilson,ПСВ,защитник,30,19
Англия,Matthew Jones,Челси,полузащитник,31,5
Аргентина,Mary Lara,Бока Хуниорс,полузащитник,2,10
Германия,Kevin Lam,Боруссия Дортмунд,нападающий,143,31
Англия,Sonya Gilmore,Челси,полузащитник,13,27
Франция,Barbara Myers,Лион,защитник,144,19
Бразилия,Angela Sheppard,Фламенго,защитник,107,12
Россия,Amy Gray,Зенит,полузащитник,78,27
Франция,Brian Warren,Лион,защитник,52,12
Нидерланды,Mrs. Holly Watson,Аякс,полузащитник,90,29
Германия,Alicia Wise,Боруссия Дортмунд,полузащитник,136,5
Англия,Jared Fleming,Манчестер Юнайтед,нападающий,112,22
Англия,Michael Faulkner,Манчестер Юнайтед,полузащитник,13,11
Нидерланды,Leslie Benson,Фейеноорд,защитник,61,5
Испания,Veronica Rose,Атлетико Мадрид,нападающий,50,16
Германия,Pamela Abbott,Боруссия Дортмунд,вратарь,133,-25
Германия,Jordan Crawford,Бавария,защитник,87,10
Бразилия,Lindsey Cook,Палмейрас,нападающий,67,34
Аргентина,William Smith,Ривер Плейт,нападающий,133,14
Нидерланды,Ashley Malone,ПСВ,вратарь,113,-15
Англия,Elijah Jacobs,Челси,защитник,120,14
Италия,Jennifer West,Милан,полузащитник,40,17
Россия,Blake Smith,Зенит,полузащитник,62,7
Аргентина,Bruce Stephenson,Бока Хуниорс,защитник,79,13
Франция,Gary Copeland,Лион,нападающий,61,48
Португалия,Julia Villarreal,Порту,нападающий,61,30
Португалия,Tracy Hall,Порту,полузащитник,74,17
Аргентина,Katherine Gonzalez,Бока Хуниорс,нападающий,33,22
Португалия,Jordan Thompson,Порту,полузащитник,129,9
Италия,Jessica Gomez,Милан,полузащитник,114,22
Нидерланды,Elizabeth Beasley,Фейеноорд,защитник,16,11
Бразилия,Terry Duran,Сантос,нападающий,20,23
Аргентина,James Browning,Бока Хуниорс,полузащитник,99,28
Бразилия,Mitchell Phillips,Фламенго,вратарь,10,-23
Италия,Garrett Singh,Милан,полузащитник,110,12
Франция,Angela Kelley,ПСЖ,нападающий,91,19
Германия,Rebecca Woodward,РБ Лейпциг,защитник,45,18
Португалия,Russell Berry,Порту,вратарь,26,-12
Нидерланды,Catherine Rice MD,ПСВ,вратарь,56,-11
Германия,Kevin Bishop DDS,Бавария,защитник,5,16
Нидерланды,Elizabeth Browning,ПСВ,нападающий,33,50
Россия,Brittany Davis,Зенит,вратарь,121,-41
Аргентина,Vincent Mullins,Ривер Плейт,защитник,62,12
Германия,Kenneth Anthony,РБ Лейпциг,нападающий,117,42
Россия,Corey Buckley,Краснодар,нападающий,133,35
Англия,Lindsay Bryant,Ливерпуль,нападающий,94,46
Португалия,Elizabeth Reyes,Спортинг,полузащитник,43,14
Аргентина,Samantha Smith,Ривер Плейт,нападающий,148,25
Россия,Isabella Johnson,Краснодар,защитник,65,13
Россия,Joshua Rogers,Локомотив,вратарь,19,-44
Россия,Oscar Valdez,Спартак,нападающий,73,17
Англия,Carol Gonzales,Челси,защитник,3,4
Бразилия,Timothy Malone,Сантос,защитник,88,2
Аргентина,Joe Torres,Бока Хуниорс,полузащитник,50,7
Португалия,Timothy Stephens,Порту,полузащитник,76,13
Германия,Melinda Kirk,РБ Лейпциг,полузащитник,143,19
Нидерланды,Angela Jackson,Фейеноорд,полузащитник,38,6
Испания,James Mcclain,Атлетико Мадрид,защитник,50,0
Аргентина,Dawn Boyle,Ривер Плейт,полузащитник,16,9
Португалия,Samuel Mendoza,Спортинг,полузащитник,41,16
Нидерланды,Matthew Shepherd,Фейеноорд,защитник,141,13
Аргентина,Kristin Lawrence,Бока Хуниорс,защитник,78,5
Англия,Timothy Johnston,Ливерпуль,нападающий,128,40
Бразилия,Kenneth Stephens,Палмейрас,защитник,127,7
Франция,Stephen Ward,ПСЖ,защитник,37,12
Франция,Dr. Robin Johnson,Лион,защитник,102,16
Россия,Brenda Williams,Локомотив,защитник,21,10
Россия,Robin Chapman,ЦСКА,нападающий,76,47
Россия,Andrew Brown,Локомотив,полузащитник,137,10
Нидерланды,Amy Neal,Фейеноорд,нападающий,142,27
Россия,John Johnson,Спартак,защитник,29,18
Россия,Amanda Wright,Зенит,защитник,142,12
Испания,Jessica Wilson,Реал Мадрид,защитник,137,18
Бразилия,Kelly Cantu,Коринтианс,защитник,120,10
Аргентина,Amy Flores,Бока Хуниорс,полузащитник,118,19
Португалия,Brian Anderson,Порту,защитник,105,9
Аргентина,Katrina Hartman,Бока Хуниорс,полузащитник,22,27
Нидерланды,Mary Walker,ПСВ,нападающий,39,47
Германия,Ronald Smith,Боруссия Дортмунд,защитник,4,7
Италия,April Knight,Милан,полузащитник,118,18
Франция,Candace Savage DVM,Олимпик Марсель,нападающий,129,25
Португалия,Dr. Brandon Rodriguez,Порту,защитник,51,3
Германия,Karen Stein,РБ Лейпциг,защитник,132,9
Англия,Linda Valdez,Челси,защитник,35,16
Португалия,Robin Adams,Бенфика,защитник,40,10
Португалия,Nicholas Bishop,Порту,вратарь,78,-49
Нидерланды,Terri Hess,Аякс,защитник,109,16
Аргентина,Paul Buchanan,Бока Хуниорс,защитник,22,5
Россия,Marissa Moore,ЦСКА,нападающий,69,25
Бразилия,Amy Pruitt,Сантос,полузащитник,27,29
Англия,Erika Bush,Манчестер Юнайтед,нападающий,36,16
Франция,Linda Pham,ПСЖ,защитник,50,12
Испания,Hayden Frank,Барселона,вратарь,111,-50
Россия,Michelle Grimes,Зенит,защитник,93,3
Германия,Deborah Brewer,Боруссия Дортмунд,защитник,144,17
Бразилия,Carol Jones,Коринтианс,полузащитник,16,8
Франция,Douglas Stephens,Олимпик Марсель,нападающий,72,12
Италия,James Church,Ювентус,нападающий,78,21
Англия,Ashlee Garcia,Челси,защитник,82,13
Россия,Teresa Smith,Зенит,нападающий,91,50
Аргентина,Philip Williams,Бока Хуниорс,вратарь,114,-42
Бразилия,Tiffany Heath,Сантос,полузащитник,121,8
Италия,Judy Donaldson,Интер,полузащитник,57,30
Португалия,Rita Roberson,Порту,нападающий,62,18
Россия,Andrew Morales,Краснодар,нападающий,27,30
Нидерланды,Rachael Taylor,Аякс,нападающий,21,16
Англия,Stephen Price,Ливерпуль,полузащитник,74,11
Россия,Mrs. Angela Johnson,Локомотив,вратарь,134,-29
Португалия,Samuel Reynolds,Порту,полузащитник,51,21
Нидерланды,Sara Bryant,ПСВ,полузащитник,53,9
Испания,Elizabeth Hayes,Барселона,нападающий,26,34
Аргентина,Michael Lopez,Бока Хуниорс,полузащитник,48,22
Бразилия,Renee Bruce,Палмейрас,полузащитник,141,14
Испания,Thomas Murillo,Реал Мадрид,защитник,39,2
Италия,Ronald Duncan,Интер,нападающий,62,18
Испания,Robert Barnes,Барселона,полузащитник,49,9
Нидерланды,Elizabeth Ford,Фейеноорд,полузащитник,77,9
Россия,Scott Kelly,Краснодар,полузащитник,93,15
Россия,Andrea Hull,Зенит,защитник,141,16
Бразилия,Anna Whitney,Палмейрас,защитник,29,10
Португалия,Nathan Brown,Спортинг,нападающий,43,39
Аргентина,Isaac Kennedy,Ривер Плейт,вратарь,30,-18
Англия,Kevin Goodwin,Ливерпуль,защитник,11,1
Франция,Thomas Russell,Лион,нападающий,105,42
Бразилия,Lindsey Porter,Палмейрас,полузащитник,96,14
Англия,Kristen Gordon,Манчестер Юнайтед,защитник,61,14
Италия,Bruce Black,Интер,нападающий,32,50
Аргентина,Jonathan Thompson Jr.,Бока Хуниорс,нападающий,76,36
Аргентина,Reginald Taylor,Бока Хуниорс,вратарь,118,-43
Франция,Jason Moss,Лион,полузащитник,43,10
Аргентина,Michelle Jones,Бока Хуниорс,нападающий,75,35
Германия,Holly Pugh,Бавария,полузащитник,80,26
Нидерланды,Christopher Webb,Фейеноорд,защитник,41,1
Россия,John Floyd,Спартак,полузащитник,51,22
Англия,Tammy Boyd,Челси,нападающий,67,34
Нидерланды,Tony Mcbride,Фейеноорд,нападающий,138,37
Италия,Elizabeth Harvey,Ювентус,нападающий,129,25
Аргентина,Angela Taylor,Бока Хуниорс,полузащитник,83,8
Россия,Heather Reed,Краснодар,нападающий,70,48
Италия,Rebecca Hodge,Ювентус,нападающий,143,30
Португалия,Cole Pearson,Порту,нападающий,50,18
Франция,John Thomas,Олимпик Марсель,вратарь,134,-43
Испания,Jason Davies,Атлетико Мадрид,полузащитник,101,25
Нидерланды,Rebecca Benton,Фейеноорд,защитник,108,20
Нидерланды,Anita Martinez,ПСВ,защитник,64,18
Россия,Marcus Rodriguez,Краснодар,нападающий,9,42
Германия,Eric Stanton,РБ Лейпциг,вратарь,44,-23
Германия,Andrea Dixon,Бавария,полузащитник,104,29
Италия,Kent Sanchez,Интер,защитник,136,6
Бразилия,Sherri Martinez,Фламенго,нападающий,24,31
Нидерланды,William Allen,Фейеноорд,нападающий,122,47
Россия,David Mason,Спартак,нападающий,48,19
Нидерланды,Dawn Gibson,Аякс,нападающий,101,30
Россия,Stephanie Johnson,ЦСКА,защитник,6,3
Бразилия,Jennifer Cox,Сантос,полузащитник,55,11
Англия,Scott Henderson,Челси,нападающий,42,24
Германия,Amber Owens,Боруссия Дортмунд,полузащитник,5,24
Нидерланды,Johnny Barr,ПСВ,полузащитник,86,30
Испания,Robert Banks,Реал Мадрид,полузащитник,104,28
Франция,Daniel Wade,Лион,защитник,2,11
Франция,John Smith,Олимпик Марсель,защитник,66,6
Англия,Jason Williamson,Манчестер Юнайтед,нападающий,5,21
Бразилия,Angel Short,Коринтианс,нападающий,20,24
Испания,Warren Brown,Атлетико Мадрид,полузащитник,145,17
Италия,Kenneth Bishop,Ювентус,полузащитник,3,7
Аргентина,Anne Wong,Ривер Плейт,нападающий,19,40
Россия,Travis Fernandez,ЦСКА,защитник,136,18
Бразилия,Matthew Nash,Палмейрас,полузащитник,95,17
Бразилия,Alicia Wood,Палмейрас,защитник,24,8
Германия,William Bailey,Боруссия Дортмунд,защитник,80,9
Франция,Anthony Gibson,Олимпик Марсель,нападающий,36,33
Германия,Craig Sanchez,Бавария,нападающий,91,24
Испания,Andrea Wheeler,Реал Мадрид,нападающий,106,33
Бразилия,David Frederick,Фламенго,полузащитник,87,22
Германия,Joseph Johnson,Бавария,нападающий,7,42
Италия,Matthew Thompson,Интер,нападающий,58,47
Англия,Gina Owens,Ливерпуль,полузащитник,29,18
Аргентина,Manuel Green,Бока Хуниорс,защитник,79,3
Нидерланды,Alex Page,Аякс,полузащитник,46,11
Италия,Jaime Sanders,Ювентус,полузащитник,68,23
Испания,Chris Olson,Барселона,защитник,103,19
Италия,Jason Daniel,Интер,нападающий,125,27
Англия,Glenda Brennan,Манчестер Юнайтед,полузащитник,17,28
Аргентина,Kevin Ware,Бока Хуниорс,нападающий,89,23
Аргентина,Julie White,Ривер Плейт,нападающий,105,41
Франция,Samuel Mckinney,Олимпик Марсель,нападающий,98,46
Нидерланды,David Richardson,Фейеноорд,полузащитник,118,13
Нидерланды,Ryan Daugherty,Фейеноорд,нападающий,21,36
Нидерланды,Matthew Mercer,ПСВ,вратарь,6,-8
Бразилия,Michelle Zimmerman,Палмейрас,полузащитник,17,16
Бразилия,Laurie Martin,Палмейрас,вратарь,13,-14
Нидерланды,Mr. Brian Alexander,ПСВ,полузащитник,79,6
Италия,Shane Spencer,Интер,полузащитник,98,23
Испания,Denise Gallagher,Барселона,нападающий,16,21
Нидерланды,Tammy Klein,Аякс,защитник,19,16
Аргентина,Todd Contreras,Бока Хуниорс,защитник,12,16
Аргентина,David Burgess,Ривер Плейт,полузащитник,131,16
Франция,Lisa West,Олимпик Марсель,нападающий,19,36
Италия,Calvin Kline,Интер,защитник,115,3
Англия,Jessica Allen,Челси,полузащитник,44,9
Португалия,David Allison,Спортинг,защитник,140,4
Испания,Karen Pierce,Атлетико Мадрид,защитник,117,14
Аргентина,Ryan Brown,Ривер Плейт,защитник,23,9
Германия,Emily Graham,Бавария,нападающий,79,41
Англия,Sarah Gomez,Манчестер Юнайтед,защитник,75,17
Россия,Jennifer Green,Спартак,защитник,93,8
Италия,Joshua Castro,Интер,полузащитник,137,22
Россия,Emily Vasquez,Локомотив,защитник,7,10
Россия,Carrie Barnes,ЦСКА,нападающий,21,43
Аргентина,Denise Castillo,Бока Хуниорс,защитник,49,4
Бразилия,Joshua Wu,Коринтианс,защитник,42,11
Бразилия,Jo Blake,Фламенго,нападающий,86,36
Испания,Ashley Ford,Реал Мадрид,защитник,54,19
Италия,Thomas Hayes,Интер,вратарь,2,-1
Франция,Ryan Dixon,ПСЖ,полузащитник,97,28
Италия,Alexander Thompson,Ювентус,полузащитник,90,22
Португалия,Keith Taylor,Бенфика,защитник,46,16
Англия,Bryan Hill,Челси,вратарь,83,-29
Португалия,Shawn Le,Порту,нападающий,34,17
Испания,Elizabeth Moore,Реал Мадрид,защитник,127,8
Нидерланды,Christopher Singh,Фейеноорд,полузащитник,5,30
Франция,Theresa Mcdonald,ПСЖ,нападающий,76,19
Испания,Shelby Rodriguez,Атлетико Мадрид,защитник,101,14
Португалия,Susan Randolph,Спортинг,защитник,126,18
Россия,Danielle Williams,Зенит,нападающий,48,18
Германия,Olivia Gibson,Бавария,защитник,24,10
Англия,Jessica Miller,Ливерпуль,нападающий,95,39
Англия,Jennifer Leon,Манчестер Юнайтед,вратарь,109,-4
Нидерланды,Brandon Murphy,ПСВ,защитник,93,6
Аргентина,David Berg,Ривер Плейт,защитник,14,16
Нидерланды,Sharon Archer,Аякс,полузащитник,47,21
Бразилия,Felicia Moreno,Сантос,полузащитник,3,7
Аргентина,Veronica Martinez,Ривер Плейт,полузащитник,17,28
Италия,Brian Simmons,Интер,нападающий,11,38
Португалия,Michelle Dawson,Бенфика,нападающий,144,31
Италия,Tony Spence,Ювентус,полузащитник,79,25
Германия,Ashley Reid DVM,Бавария,нападающий,21,24
Испания,Barry Murray,Реал Мадрид,защитник,101,14
Германия,Karen Rodriguez,Боруссия Дортмунд,защитник,38,9
Франция,Catherine Thompson,Лион,нападающий,98,10
Испания,James Watkins,Атлетико Мадрид,защитник,40,7
Аргентина,Linda Ruiz,Бока Хуниорс,полузащитник,46,6
Россия,Brian Young,Спартак,полузащитник,137,10
Россия,Matthew Dickson,Спартак,защитник,142,13
Аргентина,Travis Lee,Ривер Плейт,вратарь,149,-15
Франция,Caitlin Mercado,Лион,вратарь,20,-19
Бразилия,Jeremy Mccann,Фламенго,полузащитник,16,15
Испания,Francisco West,Атлетико Мадрид,полузащитник,113,13
Португалия,Robert Brown,Порту,защитник,147,13
Аргентина,Krista Conner,Ривер Плейт,полузащитник,124,23
Бразилия,Tonya Rogers,Фламенго,защитник,43,20
Германия,Sean Moran,Бавария,полузащитник,87,14
Испания,Melissa Huang,Барселона,полузащитник,33,21
Испания,Katherine Hester,Атлетико Мадрид,нападающий,55,28
Англия,Sarah Stewart,Ливерпуль,вратарь,114,-9
Испания,Ryan Shelton,Реал Мадрид,вратарь,58,-46
Франция,Jennifer Rangel,Лион,нападающий,70,48
Бразилия,Stacey Kennedy,Палмейрас,нападающий,63,24
Германия,Heather Henry,Боруссия Дортмунд,нападающий,20,37
Англия,Stephen Madden,Манчестер Юнайтед,полузащитник,97,10
Франция,Kristen Schaefer,ПСЖ,полузащитник,142,10
Нидерланды,Tamara Henry,Фейеноорд,нападающий,147,48
Англия,Katherine Thompson,Челси,полузащитник,75,28
Франция,Samuel Jenkins,ПСЖ,защитник,49,17
Франция,Michael Brown,Олимпик Марсель,нападающий,131,19
Россия,Kelly Scott,Спартак,нападающий,92,10
Испания,Candice Liu,Барселона,нападающий,62,47
Италия,Stephanie Wilson,Интер,защитник,36,0
Аргентина,Kenneth Hudson,Ривер Плейт,полузащитник,34,23
Нидерланды,Brandon Daniels,Фейеноорд,нападающий,123,18
