country,full_name,club,position,matches,goals
Германия,Henry Brown,Боруссия Дортмунд,нападающий,23,43
Россия,Melissa Mclean,ЦСКА,защитник,76,8
Нидерланды,Julie Salazar,ПСВ,полузащитник,130,18
Англия,Amy Spence,Челси,полузащитник,55,15
Португалия,Jeffrey Allen,Порту,вратарь,129,-25
Португалия,Diana Stewart,Бенфика,вратарь,29,-24
Германия,Jorge Rodriguez,РБ Лейпциг,защитник,67,16
Франция,Zachary Mcdonald,Лион,нападающий,59,31
Португалия,Lisa Moore,Бенфика,нападающий,84,34
Франция,Danielle Hart,Олимпик Марсель,защитник,6,16
Португалия,Teresa Lee,Спортинг,вратарь,71,-28
Испания,Andrew Mays,Барселона,полузащитник,103,20
Португалия,Abigail Sanders,Бенфика,полузащитник,35,19
Нидерланды,Amy Stuart,Аякс,вратарь,86,-9
Аргентина,Barry Rodriguez,Ривер Плейт,нападающий,100,19
Аргентина,Paul Jacobs,Бока Хуниорс,полузащитник,70,13
Германия,Jordan Hill,Боруссия Дортмунд,полузащитник,69,21
Испания,Paul Dennis,Реал Мадрид,защитник,79,17
Италия,Patricia Quinn,Милан,полузащитник,7,19
Италия,Dale Williams,Ювентус,полузащитник,93,30
Германия,Sarah Carlson,Боруссия Дортмунд,нападающий,39,45
Португалия,Donald Olsen,Спортинг,нападающий,31,32
Бразилия,Andrew Barber,Палмейрас,нападающий,140,27
Бразилия,Kimberly Delacruz,Сантос,полузащитник,61,8
Аргентина,Alicia Hall,Бока Хуниорс,нападающий,100,34
Португалия,Morgan Hart,Спортинг,полузащитник,60,21
Франция,Dawn Neal,ПСЖ,защитник,28,20
Нидерланды,Brandon Hood,Фейеноорд,вратарь,48,-5
Англия,Sabrina Graham,Челси,полузащитник,14,10
Россия,Jenna Romero,Локомотив,защитник,137,5
Германия,Tara Griffin,РБ Лейпциг,вратарь,45,-19
Франция,Barbara Lee,ПСЖ,вратарь,37,-32
Англия,Vanessa Jacobs,Челси,нападающий,10,31
Бразилия,David Johnson,Сантос,полузащитник,68,14
Нидерланды,Michael Decker,ПСВ,полузащитник,9,15
Италия,Heather Crosby,Интер,нападающий,3,41
Португалия,Julie Coleman,Спортинг,защитник,118,9
Бразилия,Donna Fischer,Сантос,нападающий,60,47
Аргентина,Robert Perez,Ривер Плейт,защитник,149,3
Нидерланды,Jennifer Bauer,Аякс,нападающий,91,21
Испания,Zachary Harris,Реал Мадрид,нападающий,98,48
Италия,Jack Brown,Интер,вратарь,4,-26
Италия,Caitlyn Young,Ювентус,нападающий,144,15
Португалия,David Thompson,Спортинг,вратарь,38,-4
Италия,Alexis Harris DDS,Ювентус,полузащитник,134,16
Аргентина,Jessica Moon,Ривер Плейт,нападающий,29,31
Испания,Timothy Harper,Реал Мадрид,защитник,98,18
Аргентина,Dr. Garrett Mason,Ривер Плейт,нападающий,90,30
Италия,Jonathan Rich,Ювентус,нападающий,38,13
Россия,Taylor Martin,Спартак,защитник,72,0
Англия,Joseph Parks,Ливерпуль,нападающий,101,17
Франция,Brittany Allen,Олимпик Марсель,вратарь,131,-32
Франция,Dennis Ayers,Лион,полузащитник,80,25
Аргентина,Sarah Jackson,Бока Хуниорс,защитник,57,18
Аргентина,Steven Kirby,Ривер Плейт,защитник,146,15
Россия,Michael Hicks,ЦСКА,полузащитник,145,13
Россия,David Williams,Зенит,нападающий,119,21
Нидерланды,Rebecca Nelson,Аякс,нападающий,44,11
Италия,Janet Stewart,Милан,нападающий,46,40
Бразилия,Nicholas Guerra,Фламенго,полузащитник,143,11
Нидерланды,Sarah Bowen,Фейеноорд,нападающий,57,32
Аргентина,Timothy Taylor,Ривер Плейт,вратарь,87,-39
Португалия,Joel King,Бенфика,нападающий,134,42
Нидерланды,Gerald Roach,Аякс,защитник,54,9
Италия,Brian Rowland,Интер,нападающий,6,28
Италия,Thomas Mcdowell,Ювентус,защитник,128,2
Аргентина,Shawn Nelson,Бока Хуниорс,защитник,10,19
Италия,Ellen Moore,Милан,полузащитник,105,30
Англия,Theresa Garner,Ливерпуль,нападающий,127,32
Бразилия,James Stevens,Сантос,полузащитник,90,19
Италия,Megan Shields,Милан,защитник,55,4
Франция,Lauren Young,Лион,защитник,35,1
Нидерланды,Christopher Deleon,Фейеноорд,защитник,104,12
Испания,Christopher Anderson,Атлетико Мадрид,полузащитник,139,16
Аргентина,Ashley Perez,Бока Хуниорс,вратарь,128,-5
Франция,Jessica Wilson,Лион,защитник,110,12
Португалия,William Cox,Бенфика,нападающий,83,15
Португалия,Jennifer Robinson,Порту,полузащитник,69,5
Аргентина,Brooke Armstrong,Ривер Плейт,нападающий,7,50
Нидерланды,Michelle Myers DVM,Аякс,защитник,104,1
Германия,Samantha Lane,РБ Лейпциг,нападающий,76,39
Англия,Kathleen Brown,Ливерпуль,нападающий,91,19
Португалия,Zachary Madden,Бенфика,защитник,62,12
Нидерланды,Kathy Barry,Фейеноорд,защитник,111,15
Аргентина,Morgan Anderson,Бока Хуниорс,полузащитник,48,11
Нидерланды,Dawn Perez,Фейеноорд,нападающий,124,45
Франция,Daniel Johnson,Лион,нападающий,79,15
Германия,Aaron Barnes,Бавария,полузащитник,45,23
Германия,Daniel Medina,РБ Лейпциг,защитник,28,12
Испания,William Anderson,Атлетико Мадрид,нападающий,31,39
Англия,Kimberly Cummings,Манчестер Юнайтед,вратарь,96,-50
Бразилия,William Hart,Коринтианс,защитник,139,7
Россия,Jeffery Pena,Краснодар,полузащитник,18,28
Россия,Lisa Montoya,Спартак,защитник,42,3
Нидерланды,Frederick Vance,Фейеноорд,защитник,13,12
Италия,Heidi Williams,Интер,полузащитник,22,13
Испания,Allison Arnold,Атлетико Мадрид,нападающий,120,35
Франция,Katherine Underwood,Лион,защитник,135,3
Бразилия,Brittany Oconnor,Сантос,защитник,47,5
Франция,Joseph Gonzalez,Лион,защитник,93,3
Португалия,Jennifer Frye,Бенфика,защитник,47,20
Англия,Shaun Davis,Манчестер Юнайтед,защитник,93,11
Испания,Kenneth Jones,Барселона,полузащитник,107,24
Бразилия,Leslie West,Коринтианс,полузащитник,93,19
Испания,James Farrell,Реал Мадрид,защитник,38,19
Италия,Adam Carpenter,Милан,защитник,78,1
Испания,Carolyn Butler,Атлетико Мадрид,полузащитник,58,16
Испания,Julie Schroeder,Барселона,нападающий,129,24
Португалия,Kevin Arnold,Бенфика,защитник,114,8
Англия,James Horton,Манчестер Юнайтед,нападающий,124,25
Россия,Sara Lee,Локомотив,полузащитник,31,5
Италия,Mrs. Alicia Mccarthy DVM,Ювентус,защитник,73,10
Германия,Dean Mitchell,Боруссия Дортмунд,полузащитник,105,23
Италия,Lisa Oconnor,Милан,защитник,134,6
Италия,Dean Miller,Ювентус,нападающий,30,44
Бразилия,Sandra Baker,Коринтианс,нападающий,5,30
Россия,Lisa Christian,Спартак,защитник,59,4
Франция,Michelle Craig,Лион,полузащитник,122,21
Испания,Dr. Corey Howard,Барселона,защитник,109,3
Италия,Robert King,Милан,защитник,5,17
Италия,Rachel Smith,Ювентус,защитник,61,0
Россия,James Rivera,Зенит,нападающий,114,46
Италия,Sarah Martinez,Милан,защитник,116,9
Аргентина,Michelle Novak,Ривер Плейт,полузащитник,23,18
Англия,Susan Henry,Челси,нападающий,109,14
Бразилия,Kenneth Becker,Сантос,вратарь,60,-10
Португалия,Joe Anderson,Порту,нападающий,49,42
Франция,Kathleen Charles,Лион,полузащитник,130,19
Португалия,Christine Robbins,Бенфика,защитник,85,20
Франция,Ronald Sellers,Лион,нападающий,117,43
Англия,Terry Elliott,Ливерпуль,полузащитник,44,21
Германия,Robert Lopez,Боруссия Дортмунд,нападающий,78,31
Италия,Gregory Bennett,Милан,нападающий,21,35
Англия,Jesse Berg,Манчестер Юнайтед,полузащитник,19,9
Италия,Brianna Nelson,Интер,нападающий,93,43
Англия,William Williams,Ливерпуль,полузащитник,23,13
Испания,Kelly Castaneda,Атлетико Мадрид,полузащитник,91,11
Англия,Shawn Underwood,Челси,защитник,67,12
Италия,Kristin Simmons,Милан,защитник,42,17
Англия,John Butler,Ливерпуль,защитник,113,17
Аргентина,Jennifer Smith,Бока Хуниорс,защитник,68,15
Португалия,Jennifer Rose,Порту,нападающий,56,23
Бразилия,Chelsea Richard,Палмейрас,защитник,130,3
Испания,Sarah Rodriguez,Реал Мадрид,защитник,76,15
Германия,Jaime Little,РБ Лейпциг,нападающий,62,22
Франция,Sandra Myers,Лион,защитник,35,9
Англия,Ryan Ray,Манчестер Юнайтед,полузащитник,80,5
Португалия,Lisa Whitney,Спортинг,нападающий,101,15
Нидерланды,Steven Guerra,Аякс,нападающий,146,27
Россия,Laurie Aguilar,Спартак,полузащитник,14,13
Германия,Austin Harris,Бавария,полузащитник,120,15
Нидерланды,Aaron Cunningham,ПСВ,полузащитник,16,12
Германия,Nathan Long,Боруссия Дортмунд,нападающий,106,38
Нидерланды,Richard Rodriguez,ПСВ,нападающий,1,48
Россия,Billy Ramirez,ЦСКА,нападающий,51,39
Германия,Dr. Natalie Lee,Бавария,нападающий,64,39
Англия,Robert Miller,Ливерпуль,полузащитник,100,5
Аргентина,Robert Farrell,Бока Хуниорс,нападающий,140,44
Россия,Christopher Khan Jr.,Спартак,полузащитник,129,12
Германия,Heather Perez,Бавария,нападающий,105,46
Франция,Christina Davis,ПСЖ,полузащитник,138,7
Нидерланды,Shannon Grant,Фейеноорд,полузащитник,32,13
Португалия,Joshua Torres,Спортинг,полузащитник,2,26
Аргентина,Hannah Lynn,Ривер Плейт,полузащитник,128,6
Англия,Gary Harrison,Челси,вратарь,68,-18
Бразилия,Connor Newton,Коринтианс,защитник,134,2
Аргентина,Jeremy Joseph,Ривер Плейт,защитник,106,11
Германия,Richard Lara,Бавария,защитник,27,18
Португалия,Jerome Rodgers,Спортинг,защитник,93,5
Португалия,Eric Haynes,Спортинг,защитник,49,13
Италия,Stephanie Moore,Интер,полузащитник,93,24
Аргентина,Kristin Walker,Ривер Плейт,нападающий,147,24
Аргентина,Sherri Spencer,Бока Хуниорс,полузащитник,3,9
Россия,Leah Gardner,Зенит,нападающий,121,46
Италия,Erica Bowen,Интер,вратарь,86,-7
Россия,Shelby Lawson,Зенит,полузащитник,22,26
Испания,John Duran MD,Атлетико Мадрид,нападающий,53,50
Италия,Dr. Richard Willis DVM,Интер,нападающий,92,30
Россия,Emily Jackson,Краснодар,защитник,38,7
Бразилия,Alyssa Duncan,Сантос,защитник,70,12
Бразилия,James Gaines,Фламенго,нападающий,7,36
Англия,Ruth Romero,Ливерпуль,нападающий,106,42
Франция,Carl Rosales,ПСЖ,нападающий,120,20
Испания,Candice White,Барселона,нападающий,140,19
Германия,Emily Lopez,Бавария,полузащитник,34,21
Аргентина,Alexis Peterson,Ривер Плейт,полузащитник,116,9
Германия,Jack Morse,РБ Лейпциг,защитник,109,3
Нидерланды,Paul Kennedy,Аякс,полузащитник,106,26
Англия,David Andrews,Ливерпуль,нападающий,74,29
Аргентина,Jonathan Pena,Ривер Плейт,нападающий,118,35
Аргентина,Johnny Brown,Бока Хуниорс,защитник,18,17
Англия,Kathleen Dennis,Челси,нападающий,150,40
Германия,Jennifer Foster,Бавария,вратарь,58,-39
Россия,Gary Holloway,Краснодар,нападающий,24,24
Англия,Katie Hamilton,Ливерпуль,нападающий,23,41
Нидерланды,Michelle Davis,ПСВ,нападающий,99,49
Испания,Paul Walker,Атлетико Мадрид,полузащитник,50,22
Франция,Ashley Montoya,ПСЖ,нападающий,69,37
Нидерланды,Eddie Mcintosh,ПСВ,защитник,87,7
Англия,David Smith,Ливерпуль,нападающий,101,40
Россия,Bryan Bennett,Локомотив,защитник,129,6
Франция,Elizabeth Holden,ПСЖ,нападающий,51,39
Португалия,Michael Smith,Спортинг,полузащитник,58,15
Россия,Heidi Carter,Спартак,защитник,115,0
Англия,Randy Allen,Ливерпуль,полузащитник,111,19
Аргентина,Cesar Richardson,Бока Хуниорс,защитник,104,20
Россия,Marvin Collins,ЦСКА,нападающий,83,15
Англия,Ryan Reynolds,Челси,нападающий,1,18
Германия,Jody Obrien,Боруссия Дортмунд,полузащитник,119,18
Франция,Loretta Thomas,Олимпик Марсель,вратарь,5,-28
Испания,Terry Crawford,Барселона,нападающий,61,40
Испания,Chad Young,Атлетико Мадрид,защитник,9,13
Италия,David Graham,Милан,нападающий,73,16
Португалия,Kenneth Cline,Порту,нападающий,25,25
Англия,Darlene Castillo,Челси,нападающий,129,45
Бразилия,Katrina Williams,Фламенго,нападающий,7,33
Аргентина,Kelsey Johnson,Бока Хуниорс,полузащитник,135,28
Россия,Chad Cox,ЦСКА,полузащитник,15,16
Англия,Desiree Wilkinson,Ливерпуль,нападающий,150,26
Бразилия,Martin Reid,Фламенго,нападающий,112,19
Англия,Thomas Martin,Ливерпуль,защитник,147,11
Аргентина,Amanda Bennett,Ривер Плейт,нападающий,83,16
Германия,Stephanie Hall,Боруссия Дортмунд,защитник,111,16
Нидерланды,Michael Alvarez,Фейеноорд,вратарь,22,-5
Англия,Laura Clark,Ливерпуль,защитник,52,20
Италия,Crystal Jensen,Милан,полузащитник,130,24
Аргентина,Cynthia Short,Ривер Плейт,вратарь,132,-44
Аргентина,Samantha Ortiz,Бока Хуниорс,нападающий,23,15
Германия,Lisa Dickson MD,РБ Лейпциг,полузащитник,19,16
Франция,William Williams,Лион,нападающий,2,45
Нидерланды,Jay Allen,Фейеноорд,вратарь,121,-22
Испания,Sue Kemp,Атлетико Мадрид,вратарь,13,-28
Италия,Derek Hunter,Ювентус,вратарь,149,-22
Нидерланды,Barry Petersen,ПСВ,вратарь,111,-2
Англия,Jessica Reynolds,Манчестер Юнайтед,вратарь,66,-47
Бразилия,Daniel Potter,Сантос,вратарь,65,-25
Португалия,Sean Lowe,Порту,нападающий,35,19
Испания,Gabriel Hubbard,Реал Мадрид,защитник,137,2
Аргентина,John Lucero,Ривер Плейт,защитник,25,20
Германия,James Hamilton,Бавария,защитник,16,2
Россия,Stephen Shepherd,ЦСКА,нападающий,128,19
Франция,Alice Morse,Олимпик Марсель,защитник,68,16
Португалия,Lisa Little DDS,Порту,нападающий,46,24
Португалия,Derek Johnston,Бенфика,нападающий,125,38
Аргентина,Alexis Reeves,Бока Хуниорс,вратарь,130,-37
Аргентина,Dr. Michael Diaz,Бока Хуниорс,полузащитник,45,20
Испания,Rebecca Cummings,Барселона,полузащитник,34,22
Бразилия,Miss Dana Williams MD,Сантос,защитник,118,15
Португалия,Brett Jackson,Порту,полузащитник,63,13
Аргентина,Lori Beltran,Ривер Плейт,полузащитник,23,22
Испания,Stefanie Burton,Реал Мадрид,вратарь,21,-22
Англия,Marie Middleton,Челси,вратарь,42,-31
Нидерланды,Jennifer Jones,ПСВ,защитник,85,20
Португалия,Jeffrey Leach,Бенфика,нападающий,71,46
Испания,Nancy Hernandez,Реал Мадрид,защитник,71,13
Бразилия,Angela Zamora,Коринтианс,защитник,18,17
Англия,Aaron Alexander,Ливерпуль,нападающий,22,11
Аргентина,Ronald Branch,Бока Хуниорс,полузащитник,60,22
Испания,Roberta Cox,Реал Мадрид,полузащитник,50,23
Нидерланды,Shannon Solomon,Фейеноорд,нападающий,82,46
Бразилия,Paul Weiss,Коринтианс,вратарь,77,-26
Германия,Carrie Winters,РБ Лейпциг,защитник,83,12
Португалия,David Martin,Бенфика,полузащитник,135,23
Россия,Russell Small,Краснодар,защитник,132,17
Англия,Lisa Jones,Манчестер Юнайтед,нападающий,57,16
Франция,Joseph Jones,Лион,вратарь,141,-39
Италия,Heather Baird,Интер,нападающий,145,44
Франция,Michael Phillips,Лион,полузащитник,120,22
Россия,Laura Warren,Краснодар,полузащитник,72,25
Франция,Adam Reynolds,Олимпик Марсель,защитник,69,0
Англия,April Chandler,Ливерпуль,полузащитник,43,13
Англия,Jessica Brown,Ливерпуль,нападающий,72,48
Франция,Phillip Mclaughlin,ПСЖ,полузащитник,5,22
Португалия,Lindsay Paul,Спортинг,нападающий,8,11
Россия,Michael Olsen,Локомотив,полузащитник,82,8
Италия,Karen Sparks,Ювентус,нападающий,109,13
Испания,Lori Barnes,Барселона,полузащитник,61,6
Англия,Thomas Simpson,Челси,полузащитник,56,27
Аргентина,Jessica Wilson,Ривер Плейт,защитник,137,19
Германия,Tammy King,РБ Лейпциг,нападающий,64,16
Аргентина,Joshua Rich,Бока Хуниорс,полузащитник,130,7
Португалия,Cynthia Martin,Спортинг,защитник,98,2
Италия,Kevin Thomas,Ювентус,нападающий,71,39
Россия,Roy Thompson,Краснодар,защитник,139,13
Франция,Michael Edwards,ПСЖ,полузащитник,6,15
Англия,Eric Perez,Челси,защитник,99,11
Англия,Mary Beasley,Манчестер Юнайтед,нападающий,24,37
Англия,Kayla Brown,Манчестер Юнайтед,защитник,20,14
Бразилия,Frank Waters,Коринтианс,защитник,145,4
Аргентина,Mackenzie Ochoa,Ривер Плейт,нападающий,126,37
Нидерланды,Mary Morrison,Фейеноорд,полузащитник,39,30
Германия,Mark Armstrong,Бавария,защитник,57,13
Аргентина,Nicholas Campbell,Бока Хуниорс,нападающий,91,40
Бразилия,Donald Webb,Коринтианс,нападающий,15,14
Россия,Nicole Sullivan,ЦСКА,вратарь,65,-49
Аргентина,Emily Young,Ривер Плейт,полузащитник,105,13
Италия,Ruben Harper,Интер,нападающий,81,13
Португалия,Dennis Alvarado,Бенфика,нападающий,101,33
Германия,Lori Robles,РБ Лейпциг,защитник,26,1
Нидерланды,Michael Burton,ПСВ,полузащитник,39,5
Англия,Alicia White,Челси,нападающий,49,34
Аргентина,Angie Zhang,Бока Хуниорс,нападающий,135,24
Нидерланды,Tracie Green,Фейеноорд,защитник,138,4
Португалия,John Henry,Спортинг,защитник,13,6
Нидерланды,Marvin Torres,ПСВ,защитник,74,7
Россия,Douglas Brown,Спартак,полузащитник,75,9
Англия,Cynthia Flores,Челси,нападающий,13,27
Германия,Sarah Cohen,Боруссия Дортмунд,нападающий,91,27
Россия,Bradley Hughes,Локомотив,полузащитник,7,30
Испания,Joseph Pacheco,Реал Мадрид,защитник,69,2
Португалия,Wesley Jackson,Спортинг,нападающий,72,45
Франция,Kenneth Stewart,ПСЖ,защитник,123,9
Франция,Nancy Garcia,Олимпик Марсель,защитник,136,1
Франция,Maxwell Sanders,Олимпик Марсель,полузащитник,150,7
Португалия,Tanner Rhodes,Бенфика,полузащитник,50,28
Россия,Janet Fernandez,Краснодар,полузащитник,137,25
Аргентина,Ms. Wendy Lopez,Ривер Плейт,защитник,70,19
Нидерланды,Debbie Wiggins,Фейеноорд,защитник,126,17
Нидерланды,William Bates,Аякс,защитник,118,12
Португалия,Stephanie Walker,Бенфика,полузащитник,25,17
Россия,Jenny Wilson,Локомотив,полузащитник,119,11
Аргентина,Kim King,Ривер Плейт,нападающий,148,31
Франция,Joseph Lynch,Олимпик Марсель,полузащитник,115,5
Франция,Sherry Richardson,Олимпик Марсель,нападающий,127,26
Португалия,Michael Burke,Порту,защитник,73,11
Германия,Justin Rivera,Боруссия Дортмунд,защитник,116,2
Португалия,Christopher Randall,Бенфика,нападающий,43,15
Италия,Jeremy Myers,Милан,защитник,33,4
Италия,Bryan Swanson,Милан,нападающий,33,33
Германия,Donald Lyons,РБ Лейпциг,полузащитник,122,17
Франция,Christina Lopez,ПСЖ,полузащитник,102,23
Англия,Katelyn Guzman,Челси,нападающий,90,27
Франция,Michele Chavez,Олимпик Марсель,полузащитник,119,10
Англия,William Larsen,Манчестер Юнайтед,защитник,139,4
Бразилия,Anthony Gomez,Сантос,защитник,106,5
Аргентина,Shane Alvarado,Ривер Плейт,защитник,20,13
Испания,Russell Martinez,Реал Мадрид,нападающий,138,38
Испания,Brandy Miller,Атлетико Мадрид,нападающий,50,39
Россия,Nicole Oconnor,Локомотив,вратарь,9,-8
Аргентина,Denise Gonzalez,Бока Хуниорс,защитник,3,8
Германия,Gabriela Lopez,РБ Лейпциг,нападающий,64,35
Италия,Emily Guerrero,Милан,полузащитник,49,24
Аргентина,Jennifer Woods,Ривер Плейт,полузащитник,143,21
Россия,Sierra Vazquez,ЦСКА,нападающий,108,43
Германия,Dennis Vargas,Бавария,полузащитник,43,24
Аргентина,Michelle Stevenson,Бока Хуниорс,защитник,134,3
Россия,Steven Blair,ЦСКА,нападающий,101,36
Бразилия,Rachel Coffey,Коринтианс,защитник,135,14
